id,type,url,method,param,payload,evidence,severity,risk_score,risk_level,is_false_positive
103,sql_injection,https://securitytesting.io/user,POST,category_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,4.5,medium,False
104,xss,https://securitytesting.io/checkout,PUT,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,info,1.8,info,True
105,sql_injection,https://testsite.org/checkout,GET,id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',low,3.9,low,False
106,idor,https://securitytesting.io/cart,PUT,doc_id,528,Unauthorized access to resource doc_id=528,critical,8.1,critical,False
107,sql_injection,https://vulnerableapp.net/api/products,DELETE,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,8.2,critical,False
108,csrf,https://vulnerableapp.net/checkout,DELETE,,,No CSRF token found in form submission,medium,5.0,medium,False
109,command_injection,https://testsite.org/api/users,GET,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,3.5,low,False
110,file_inclusion,https://testsite.org/product,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.5,medium,False
111,command_injection,https://securitytesting.io/cart,DELETE,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.3,low,False
112,idor,https://example.com/user,GET,user_id,267,Unauthorized access to resource user_id=267,low,2.4,low,False
113,csrf,https://securitytesting.io/settings,DELETE,,,No CSRF token found in form submission,high,7.3,high,False
114,file_inclusion,https://securitytesting.io/login,PUT,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.1,medium,False
115,csrf,https://testsite.org/checkout,DELETE,,,No CSRF token found in form submission,info,0.7,info,True
116,file_inclusion,https://securitytesting.io/admin,GET,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,info,0.1,info,False
117,command_injection,https://example.com/api/products,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.1,high,False
118,file_inclusion,https://securitytesting.io/register,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,8.5,critical,False
119,sql_injection,https://example.com/login,GET,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",high,5.1,medium,True
120,csrf,https://securitytesting.io/cart,GET,,,No CSRF token found in form submission,high,8.5,critical,False
121,xss,https://testsite.org/api/users,POST,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,7.5,high,False
122,file_inclusion,https://webapp.com/profile,DELETE,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,4.3,medium,False
123,idor,https://testsite.org/login,DELETE,file_id,694,Unauthorized access to resource file_id=694,critical,8.9,critical,False
124,idor,https://securitytesting.io/cart,DELETE,file_id,608,Unauthorized access to resource file_id=608,high,6.5,high,False
125,idor,https://testsite.org/api/products,GET,doc_id,806,Unauthorized access to resource doc_id=806,medium,5.0,medium,False
126,xss,https://webapp.com/admin,POST,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,5.7,medium,True
127,xss,https://securitytesting.io/cart,POST,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,4.5,medium,False
128,sql_injection,https://example.com/cart,DELETE,category_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',low,4.0,medium,True
129,command_injection,https://vulnerableapp.net/register,PUT,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.3,medium,False
130,xss,https://example.com/profile,PUT,message,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,3.7,low,True
131,sql_injection,https://securitytesting.io/profile,DELETE,product_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",high,7.8,high,False
132,xss,https://vulnerableapp.net/checkout,DELETE,message,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,6.6,high,False
133,csrf,https://testsite.org/api/users,POST,,,No CSRF token found in form submission,high,7.6,high,False
134,file_inclusion,https://webapp.com/profile,POST,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,4.3,medium,False
135,csrf,https://example.com/register,PUT,,,No CSRF token found in form submission,high,6.0,high,True
136,idor,https://securitytesting.io/register,PUT,account_id,308,Unauthorized access to resource account_id=308,info,0.1,info,False
137,sql_injection,https://vulnerableapp.net/user,PUT,category_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.0,medium,False
138,command_injection,https://example.com/profile,GET,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,4.5,medium,False
139,file_inclusion,https://testsite.org/settings,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,8.4,critical,False
140,idor,https://webapp.com/login,POST,doc_id,818,Unauthorized access to resource doc_id=818,medium,3.6,low,False
141,sql_injection,https://example.com/search,PUT,order_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",high,7.4,high,True
142,sql_injection,https://example.com/checkout,DELETE,product_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.3,medium,False
143,xss,https://securitytesting.io/settings,GET,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,3.2,low,False
144,csrf,https://webapp.com/register,DELETE,,,No CSRF token found in form submission,low,2.1,low,False
145,sql_injection,https://vulnerableapp.net/cart,GET,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.2,medium,False
146,command_injection,https://example.com/api/users,GET,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,0.9,info,False
147,csrf,https://securitytesting.io/cart,GET,,,No CSRF token found in form submission,medium,3.7,low,False
148,xss,https://testsite.org/settings,POST,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,7.4,high,True
149,file_inclusion,https://webapp.com/login,GET,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,0.8,info,False
150,idor,https://vulnerableapp.net/api/products,DELETE,account_id,81,Unauthorized access to resource account_id=81,medium,5.9,medium,False
151,file_inclusion,https://securitytesting.io/login,GET,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.4,medium,False
152,xss,https://example.com/api/users,DELETE,message,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",info,0.9,info,True
153,command_injection,https://example.com/checkout,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,3.8,low,False
154,csrf,https://webapp.com/profile,GET,,,No CSRF token found in form submission,medium,5.3,medium,False
155,xss,https://securitytesting.io/checkout,PUT,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,5.8,medium,False
156,command_injection,https://webapp.com/search,DELETE,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,6.8,high,False
157,xss,https://example.com/api/products,POST,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",low,2.1,low,False
158,csrf,https://example.com/api/users,GET,,,No CSRF token found in form submission,medium,3.8,low,False
159,sql_injection,https://testsite.org/api/users,PUT,id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',high,6.7,high,True
160,sql_injection,https://example.com/api/users,GET,id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',high,8.0,critical,False
161,idor,https://webapp.com/login,PUT,user_id,923,Unauthorized access to resource user_id=923,critical,9.9,critical,False
162,xss,https://example.com/profile,DELETE,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.3,medium,False
163,idor,https://vulnerableapp.net/register,DELETE,file_id,998,Unauthorized access to resource file_id=998,medium,3.7,low,False
164,idor,https://webapp.com/api/users,GET,account_id,321,Unauthorized access to resource account_id=321,high,7.8,high,False
165,file_inclusion,https://example.com/register,GET,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,info,2.6,low,False
166,csrf,https://webapp.com/checkout,GET,,,No CSRF token found in form submission,medium,4.8,medium,False
167,idor,https://securitytesting.io/api/users,POST,user_id,461,Unauthorized access to resource user_id=461,high,6.8,high,False
168,file_inclusion,https://example.com/product,PUT,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,6.3,high,False
169,command_injection,https://securitytesting.io/user,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,3.9,low,False
170,xss,https://testsite.org/login,DELETE,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,7.0,high,False
171,xss,https://vulnerableapp.net/settings,GET,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,8.6,critical,False
172,file_inclusion,https://vulnerableapp.net/search,POST,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.3,medium,False
173,idor,https://vulnerableapp.net/api/products,GET,file_id,612,Unauthorized access to resource file_id=612,high,6.4,high,True
174,idor,https://example.com/api/products,GET,file_id,972,Unauthorized access to resource file_id=972,low,4.2,medium,False
175,xss,https://vulnerableapp.net/checkout,DELETE,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,low,1.7,info,False
176,csrf,https://testsite.org/cart,DELETE,,,No CSRF token found in form submission,high,7.5,high,False
177,sql_injection,https://vulnerableapp.net/product,POST,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',critical,9.0,critical,False
178,file_inclusion,https://vulnerableapp.net/api/products,DELETE,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,7.8,high,True
179,xss,https://example.com/admin,GET,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,3.6,low,False
180,sql_injection,https://vulnerableapp.net/settings,PUT,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,4.5,medium,False
181,xss,https://vulnerableapp.net/cart,GET,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,5.6,medium,False
182,csrf,https://vulnerableapp.net/checkout,GET,,,No CSRF token found in form submission,high,7.3,high,False
183,file_inclusion,https://testsite.org/profile,GET,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,critical,8.5,critical,False
184,file_inclusion,https://testsite.org/user,DELETE,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.3,medium,False
185,command_injection,https://securitytesting.io/cart,GET,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.8,medium,True
186,file_inclusion,https://example.com/api/users,PUT,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,9.5,critical,True
187,sql_injection,https://vulnerableapp.net/search,POST,product_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,8.0,critical,False
188,file_inclusion,https://example.com/cart,GET,cmd,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,6.8,high,False
189,sql_injection,https://securitytesting.io/cart,PUT,category_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',high,6.4,high,False
190,sql_injection,https://testsite.org/search,POST,product_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',low,3.1,low,False
191,csrf,https://example.com/user,DELETE,,,No CSRF token found in form submission,medium,5.7,medium,False
192,csrf,https://vulnerableapp.net/cart,PUT,,,No CSRF token found in form submission,high,5.8,medium,False
193,command_injection,https://testsite.org/product,GET,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,critical,8.4,critical,False
194,csrf,https://webapp.com/register,PUT,,,No CSRF token found in form submission,critical,8.6,critical,False
195,xss,https://vulnerableapp.net/api/products,POST,message,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,5.7,medium,False
196,file_inclusion,https://testsite.org/settings,DELETE,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,critical,8.0,critical,False
197,idor,https://vulnerableapp.net/user,PUT,doc_id,10,Unauthorized access to resource doc_id=10,high,7.3,high,False
198,csrf,https://vulnerableapp.net/cart,PUT,,,No CSRF token found in form submission,high,7.0,high,True
199,xss,https://vulnerableapp.net/settings,POST,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,5.0,medium,False
200,idor,https://vulnerableapp.net/search,POST,user_id,701,Unauthorized access to resource user_id=701,medium,5.6,medium,False
201,file_inclusion,https://webapp.com/api/users,PUT,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,6.2,high,False
202,xss,https://webapp.com/profile,POST,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,6.8,high,True
203,sql_injection,https://example.com/user,DELETE,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',critical,8.4,critical,False
204,csrf,https://securitytesting.io/profile,DELETE,,,No CSRF token found in form submission,low,4.3,medium,False
205,file_inclusion,https://vulnerableapp.net/search,GET,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.9,high,False
206,file_inclusion,https://vulnerableapp.net/search,GET,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,4.3,medium,True
207,xss,https://securitytesting.io/profile,GET,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.2,medium,False
208,sql_injection,https://vulnerableapp.net/api/users,POST,user_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',low,2.5,low,False
209,csrf,https://testsite.org/settings,PUT,,,No CSRF token found in form submission,medium,4.0,medium,False
210,csrf,https://vulnerableapp.net/register,POST,,,No CSRF token found in form submission,info,2.6,low,False
211,command_injection,https://vulnerableapp.net/user,POST,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,info,1.8,info,False
212,csrf,https://example.com/settings,POST,,,No CSRF token found in form submission,medium,4.3,medium,False
213,file_inclusion,https://securitytesting.io/cart,GET,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.4,low,False
214,command_injection,https://testsite.org/search,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,3.0,low,False
215,idor,https://securitytesting.io/product,GET,file_id,347,Unauthorized access to resource file_id=347,critical,10.0,critical,False
216,sql_injection,https://vulnerableapp.net/settings,DELETE,product_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,8.5,critical,False
217,file_inclusion,https://example.com/admin,DELETE,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,critical,8.4,critical,False
218,file_inclusion,https://vulnerableapp.net/login,POST,cmd,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,3.8,low,False
